,Frequency,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5,Order
0,0.47500000000002274,0.0,-1.0,1.0,0.0,0.0,2.0
1,0.6875,0.0,0.0,0.0,-1.0,1.0,2.0
2,0.9124999999999659,0.0,0.0,-1.0,1.0,0.0,2.0
3,1.3249999999999886,-1.0,1.0,0.0,0.0,0.0,2.0
4,1.3874999999999886,0.0,-1.0,0.0,1.0,0.0,2.0
5,1.599999999999966,0.0,0.0,-1.0,0.0,1.0,2.0
6,1.8000000000000114,-1.0,0.0,1.0,0.0,0.0,2.0
7,2.0749999999999886,0.0,-1.0,0.0,0.0,1.0,2.0
8,2.7124999999999773,-1.0,0.0,0.0,1.0,0.0,2.0
9,3.3999999999999773,-1.0,0.0,0.0,0.0,1.0,2.0
10,403.1625,2.0,0.0,0.0,0.0,-1.0,3.0
11,403.85,2.0,0.0,0.0,-1.0,0.0,3.0
12,404.48750000000007,1.0,1.0,0.0,0.0,-1.0,3.0
13,404.7625,2.0,0.0,-1.0,0.0,0.0,3.0
14,404.9625,1.0,0.0,1.0,0.0,-1.0,3.0
15,405.175,1.0,1.0,0.0,-1.0,0.0,3.0
16,405.2375,2.0,-1.0,0.0,0.0,0.0,3.0
17,405.65,1.0,0.0,1.0,-1.0,0.0,3.0
18,405.8125,0.0,2.0,0.0,0.0,-1.0,3.0
19,405.875,1.0,0.0,0.0,1.0,-1.0,3.0
20,406.0875,1.0,1.0,-1.0,0.0,0.0,3.0
21,406.2875,0.0,1.0,1.0,0.0,-1.0,3.0
22,406.5,0.0,2.0,0.0,-1.0,0.0,3.0
23,406.5625,1.0,0.0,0.0,0.0,0.0,1.0
24,406.76250000000005,0.0,0.0,2.0,0.0,-1.0,3.0
25,406.975,0.0,1.0,1.0,-1.0,0.0,3.0
26,407.03749999999997,1.0,-1.0,1.0,0.0,0.0,3.0
27,407.19999999999993,0.0,1.0,0.0,1.0,-1.0,3.0
28,407.25,1.0,0.0,0.0,-1.0,1.0,3.0
29,407.41249999999997,0.0,2.0,-1.0,0.0,0.0,3.0
30,407.45000000000005,0.0,0.0,2.0,-1.0,0.0,3.0
31,407.47499999999997,1.0,0.0,-1.0,1.0,0.0,3.0
32,407.67500000000007,0.0,0.0,1.0,1.0,-1.0,3.0
33,407.8875,0.0,1.0,0.0,0.0,0.0,1.0
34,407.95,1.0,-1.0,0.0,1.0,0.0,3.0
35,408.16249999999997,1.0,0.0,-1.0,0.0,1.0,3.0
36,408.3625,0.0,0.0,1.0,0.0,0.0,1.0
37,408.575,0.0,1.0,0.0,-1.0,1.0,3.0
38,408.5875,0.0,0.0,0.0,2.0,-1.0,3.0
39,408.6375,1.0,-1.0,0.0,0.0,1.0,3.0
40,408.7999999999999,0.0,1.0,-1.0,1.0,0.0,3.0
41,408.83750000000003,0.0,-1.0,2.0,0.0,0.0,3.0
42,409.05,0.0,0.0,1.0,-1.0,1.0,3.0
43,409.2125,-1.0,2.0,0.0,0.0,0.0,3.0
44,409.275,0.0,0.0,0.0,1.0,0.0,1.0
45,409.48749999999995,0.0,1.0,-1.0,0.0,1.0,3.0
46,409.6875,-1.0,1.0,1.0,0.0,0.0,3.0
47,409.75,0.0,-1.0,1.0,1.0,0.0,3.0
48,409.9625,0.0,0.0,0.0,0.0,1.0,1.0
49,410.1625,-1.0,0.0,2.0,0.0,0.0,3.0
50,410.18749999999994,0.0,0.0,-1.0,2.0,0.0,3.0
51,410.4375,0.0,-1.0,1.0,0.0,1.0,3.0
52,410.5999999999999,-1.0,1.0,0.0,1.0,0.0,3.0
53,410.65,0.0,0.0,0.0,-1.0,2.0,3.0
54,410.66249999999997,0.0,-1.0,0.0,2.0,0.0,3.0
55,410.87499999999994,0.0,0.0,-1.0,1.0,1.0,3.0
56,411.075,-1.0,0.0,1.0,1.0,0.0,3.0
57,411.28749999999997,-1.0,1.0,0.0,0.0,1.0,3.0
58,411.34999999999997,0.0,-1.0,0.0,1.0,1.0,3.0
59,411.56249999999994,0.0,0.0,-1.0,0.0,2.0,3.0
60,411.7625,-1.0,0.0,1.0,0.0,1.0,3.0
61,411.98749999999995,-1.0,0.0,0.0,2.0,0.0,3.0
62,412.03749999999997,0.0,-1.0,0.0,0.0,2.0,3.0
63,412.67499999999995,-1.0,0.0,0.0,1.0,1.0,3.0
64,413.36249999999995,-1.0,0.0,0.0,0.0,2.0,3.0
65,813.125,2.0,0.0,0.0,0.0,0.0,2.0
66,814.45,1.0,1.0,0.0,0.0,0.0,2.0
67,814.925,1.0,0.0,1.0,0.0,0.0,2.0
68,815.775,0.0,2.0,0.0,0.0,0.0,2.0
69,815.8375,1.0,0.0,0.0,1.0,0.0,2.0
70,816.25,0.0,1.0,1.0,0.0,0.0,2.0
71,816.525,1.0,0.0,0.0,0.0,1.0,2.0
72,816.725,0.0,0.0,2.0,0.0,0.0,2.0
73,817.1624999999999,0.0,1.0,0.0,1.0,0.0,2.0
74,817.6375,0.0,0.0,1.0,1.0,0.0,2.0
75,817.8499999999999,0.0,1.0,0.0,0.0,1.0,2.0
76,818.325,0.0,0.0,1.0,0.0,1.0,2.0
77,818.55,0.0,0.0,0.0,2.0,0.0,2.0
78,819.2375,0.0,0.0,0.0,1.0,1.0,2.0
79,819.925,0.0,0.0,0.0,0.0,2.0,2.0
80,1219.6875,3.0,0.0,0.0,0.0,0.0,3.0
81,1221.0125,2.0,1.0,0.0,0.0,0.0,3.0
82,1221.4875,2.0,0.0,1.0,0.0,0.0,3.0
83,1222.3375,1.0,2.0,0.0,0.0,0.0,3.0
84,1222.4,2.0,0.0,0.0,1.0,0.0,3.0
85,1222.8125,1.0,1.0,1.0,0.0,0.0,3.0
86,1223.0875,2.0,0.0,0.0,0.0,1.0,3.0
87,1223.2875,1.0,0.0,2.0,0.0,0.0,3.0
88,1223.6625,0.0,3.0,0.0,0.0,0.0,3.0
89,1223.725,1.0,1.0,0.0,1.0,0.0,3.0
90,1224.1375,0.0,2.0,1.0,0.0,0.0,3.0
91,1224.1999999999998,1.0,0.0,1.0,1.0,0.0,3.0
92,1224.4125,1.0,1.0,0.0,0.0,1.0,3.0
93,1224.6125,0.0,1.0,2.0,0.0,0.0,3.0
94,1224.8874999999998,1.0,0.0,1.0,0.0,1.0,3.0
95,1225.05,0.0,2.0,0.0,1.0,0.0,3.0
96,1225.0875,0.0,0.0,3.0,0.0,0.0,3.0
97,1225.1125,1.0,0.0,0.0,2.0,0.0,3.0
98,1225.5249999999999,0.0,1.0,1.0,1.0,0.0,3.0
99,1225.7375,0.0,2.0,0.0,0.0,1.0,3.0
100,1225.8,1.0,0.0,0.0,1.0,1.0,3.0
101,1226.0,0.0,0.0,2.0,1.0,0.0,3.0
102,1226.2125,0.0,1.0,1.0,0.0,1.0,3.0
103,1226.4375,0.0,1.0,0.0,2.0,0.0,3.0
104,1226.4875,1.0,0.0,0.0,0.0,2.0,3.0
105,1226.6875,0.0,0.0,2.0,0.0,1.0,3.0
106,1226.9125,0.0,0.0,1.0,2.0,0.0,3.0
107,1227.125,0.0,1.0,0.0,1.0,1.0,3.0
108,1227.6,0.0,0.0,1.0,1.0,1.0,3.0
109,1227.8125,0.0,1.0,0.0,0.0,2.0,3.0
110,1227.8249999999998,0.0,0.0,0.0,3.0,0.0,3.0
111,1228.2875,0.0,0.0,1.0,0.0,2.0,3.0
112,1228.5124999999998,0.0,0.0,0.0,2.0,1.0,3.0
113,1229.1999999999998,0.0,0.0,0.0,1.0,2.0,3.0
114,1229.8874999999998,0.0,0.0,0.0,0.0,3.0,3.0
